expID,plateID,rowID,colID,wellID,sample,stimulus,conc_final,stim_profile,gradient_duration,stim_description,stim_descrip_short,time_min,time_point,after_end,conc_at_time_mM,cumulative_exposure,staining,panel,protein_BV421,protein_PE,protein_AF647,protein_AF488
DS085,A,A,2,A02,1A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,3,A03,2A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,2.5,2.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,4,A04,3A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,5,5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,5,A05,4A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,7.5,7.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,6,A06,5A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,10,10 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,7,A07,6A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,12.5,12.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,8,A08,7A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,15,15 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,9,A09,8A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,17.5,17.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,10,A10,9A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,20,20 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,A,11,A11,10A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,22.5,22.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,2,B02,11A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,30,30 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,3,B03,12A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,37.5,37.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,4,B04,13A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,40,40 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,5,B05,14A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,45,45 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,6,B06,15A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,52.5,52.5 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,7,B07,16A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,60,60 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,8,B08,17A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,75,75 min,yes,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,9,B09,18A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,90,90 min,yes,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,B,10,B10,19A,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,90,90 min,yes,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,2,C02,20A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,3,C03,21A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,2.5,2.5 min,no,5,12.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,4,C04,22A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,5,5 min,no,5,25,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,5,C05,23A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,7.5,7.5 min,no,5,37.75,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,6,C06,24A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,10,10 min,no,5,50,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,7,C07,25A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,12.5,12.5 min,no,5,62.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,8,C08,26A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,15,15 min,no,5,75,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,9,C09,27A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,17.5,17.5 min,no,5,87.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,10,C10,28A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,20,20 min,no,5,100,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,C,11,C11,29A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,22.5,22.5 min,no,5,112.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,2,D02,30A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,30,30 min,no,5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,3,D03,31A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,37.5,37.5 min,no,5,187.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,4,D04,32A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,40,40 min,no,5,200,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,5,D05,33A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,45,45 min,no,5,225,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,6,D06,34A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,52.5,52.5 min,no,5,262.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,7,D07,35A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,60,60 min,no,5,300,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,8,D08,36A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,75,75 min,yes,5,375,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,9,D09,37A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,90,90 min,yes,5,450,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,D,10,D10,38A,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,90,90 min,yes,5,450,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,2,E02,39A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,3,E03,40A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,2.5,2.5 min,no,0.625,0.78,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,4,E04,41A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,5,5 min,no,1.25,3.13,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,5,E05,42A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,7.5,7.5 min,no,1.875,7.031,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,6,E06,42A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,10,10 min,no,2.5,12.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,7,E07,44A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,12.5,12.5 min,no,3.125,19.53,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,8,E08,45A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,15,15 min,no,3.75,28.12,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,9,E09,46A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,17.5,17.5 min,no,4.375,38.28,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,10,E10,47A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,20,20 min,no,5,50,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,E,11,E11,48A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,30,30 min,yes,5,100,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,F,2,F02,49A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,40,40 min,yes,5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,F,3,F03,50A,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,40,40 min,yes,5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,2,G02,51A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,3,G03,52A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,7.5,7.5 min,no,0.625,2.34,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,4,G04,53A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,15,15 min,no,1.25,9.375,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,5,G05,54A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,22.5,22.5 min,no,1.875,21.09,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,6,G06,55A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,30,30 min,no,2.5,37.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,7,G07,56A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,37.5,37.5 min,no,3.125,58.59,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,8,G08,57A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,45,45 min,no,3.75,84.75,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,9,G09,58A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,52.5,52.5 min,no,4.375,114.8,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,10,G10,59A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,60,60 min,no,5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,G,11,G11,60A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,75,75 min,yes,5,225,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,H,2,H02,61A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,90,90 min,yes,5,300,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,A,H,3,H03,62A,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,90,90 min,yes,5,300,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS085,B,A,2,A02,1B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,0,0 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,3,A03,2B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,2.5,2.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,4,A04,3B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,5,5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,5,A05,4B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,7.5,7.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,6,A06,5B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,10,10 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,7,A07,6B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,12.5,12.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,8,A08,7B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,15,15 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,9,A09,8B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,17.5,17.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,10,A10,9B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,20,20 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,A,11,A11,10B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,22.5,22.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,2,B02,11B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,30,30 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,3,B03,12B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,37.5,37.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,4,B04,13B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,40,40 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,5,B05,14B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,45,45 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,6,B06,15B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,52.5,52.5 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,7,B07,16B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,60,60 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,8,B08,17B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,75,75 min,yes,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,9,B09,18B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,90,90 min,yes,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,B,10,B10,19B,PBS,0 mM,step,NA,PBS step (0 mM),step to 0 mM,90,90 min nostain,yes,0,0,no,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,2,C02,20B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,0,0 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,3,C03,21B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,2.5,2.5 min,no,5,12.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,4,C04,22B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,5,5 min,no,5,25,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,5,C05,23B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,7.5,7.5 min,no,5,37.75,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,6,C06,24B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,10,10 min,no,5,50,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,7,C07,25B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,12.5,12.5 min,no,5,62.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,8,C08,26B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,15,15 min,no,5,75,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,9,C09,27B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,17.5,17.5 min,no,5,87.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,C,10,C10,28B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,20,20 min,no,5,100,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
