expID,plateID,rowID,colID,wellID,sample,stimulus,conc_final,stim_profile,gradient_duration,stim_description,stim_descrip_short,time_min,time_point,after_end,conc_at_time_mM,cumulative_exposure,staining,panel,protein_BV421,protein_PE,protein_AF647,protein_AF488
DS097,A,A,1,A01,1,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,2,A02,2,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,2.5,2.5 min,no,0.62,0.39,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,3,A03,3,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,5,5 min,no,1.25,1.56,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,4,A04,4,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,7.5,7.5 min,no,1.87,3.52,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,5,A05,5,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,10,10 min,no,2.5,6.25,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,6,A06,6,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,12.5,12.5 min,no,3.12,9.77,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,7,A07,7,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,15,15 min,no,3.75,14.06,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,8,A08,8,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,17.5,17.5 min,no,4.37,19.14,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,9,A09,9,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,20,20 min,no,5,25,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,10,A10,10,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,35,35 min,yes,5,100,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,11,A11,11,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,A,12,A12,12,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,7.5,7.5 min,no,0.31,1.17,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,1,B01,13,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,15,15 min,no,0.62,4.69,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,2,B02,14,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,22.5,22.5 min,no,0.94,10.55,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,3,B03,15,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,30,30 min,no,1.25,18.75,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,4,B04,16,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,37.5,37.5 min,no,1.56,29.3,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,5,B05,17,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,45,45 min,no,1.88,42.19,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,6,B06,18,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,52.5,52.5 min,no,2.19,57.42,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,7,B07,19,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,60,60 min,no,2.5,75,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,8,B08,20,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,75,75 min,yes,2.5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,9,B09,21,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
